"Title","ID","Created Date","Updated Date","Owner","course_code","description","school","Subject","bullet_points","Concordia_courses (List)","Online Tutor","In-Person Tutor"
"Vectors & Matrices","math204",2024-09-12T04:30:15Z,2024-09-16T02:42:00Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 204","This course provides foundational knowledge in linear algebra, covering key topics such as systems of equations, matrix operations, and vector spaces.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Systems of Linear Equations</p></li>
  <li><p class=""font_8"">Gaussian Elimination</p></li>
  <li><p class=""font_8"">Matrices and Matrix Operations</p></li>
  <li><p class=""font_8"">Inverses; Algebraic Properties of Matrices</p></li>
  <li><p class=""font_8"">Determinants</p></li>
  <li><p class=""font_8"">Vectors in 2-space and 3-space</p></li>
  <li><p class=""font_8"">Orthogonality</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Differential & Integral Calculus II","math205",2024-09-12T04:30:15Z,2024-09-16T02:40:08Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 205","This course explores advanced topics in single-variable calculus, building on the concepts introduced in Calculus I.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Area and Finite Sums</p></li>
  <li><p class=""font_8"">Sigma Notation</p></li>
  <li><p class=""font_8"">The Definite Integral</p></li>
  <li><p class=""font_8"">Antiderivatives</p></li>
  <li><p class=""font_8"">Fundamental Theorem of Calculus</p></li>
  <li><p class=""font_8"">Integration Techniques</p></li>
  <li><p class=""font_8"">Volumes and Surface Areas</p></li>
  <li><p class=""font_8"">Sequences and Series</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Algebra & Functions","math206",2024-09-12T04:30:14Z,2024-09-16T02:47:58Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 206","This course deepens understanding of algebraic concepts, focusing on functions, equations, and inequalities.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Polynomials</p></li>
  <li><p class=""font_8"">Factoring Techniques</p></li>
  <li><p class=""font_8"">Rational Expressions</p></li>
  <li><p class=""font_8"">Linear and Quadratic Equations</p></li>
  <li><p class=""font_8"">Radical Equations</p></li>
  <li><p class=""font_8"">Inequalities</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Fundamental Mathematics I","math208",2024-09-12T04:30:15Z,2024-09-16T02:42:07Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 208","This course covers advanced functions and introductory linear algebra, providing a strong foundation for further mathematical studies.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Graphs and Lines</p></li>
  <li><p class=""font_8"">Polynomial and Rational Functions</p></li>
  <li><p class=""font_8"">Exponential and Logarithmic Functions</p></li>
  <li><p class=""font_8"">Sequences and Series</p></li>
  <li><p class=""font_8"">Systems of Linear Equations</p></li>
  <li><p class=""font_8"">Matrices and Determinants</p></li>
  <li><p class=""font_8"">Linear Programming</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Fundamental Mathematics II","math209",2024-09-12T04:30:14Z,2024-09-16T02:44:55Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 209","This course focuses on single-variable calculus with applications, essential for students in science, engineering, and economics programs.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Limits and Continuity</p></li>
  <li><p class=""font_8"">Derivatives</p></li>
  <li><p class=""font_8"">Differentiation Techniques</p></li>
  <li><p class=""font_8"">Applications of Derivatives</p></li>
  <li><p class=""font_8"">Integrals and Antiderivatives</p></li>
  <li><p class=""font_8"">Optimization Problems</p></li>
  <li><p class=""font_8"">Differential Equations</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Francesco Pedulla","N/A"
"Linear Algebra I","math251",2024-09-12T04:30:14Z,2024-09-16T02:48:53Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 251","This course introduces fundamental linear algebra concepts, essential for further studies in mathematics and related fields.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Vector Spaces and Subspaces</p></li>
  <li><p class=""font_8"">Linear Combinations and Systems of Equations</p></li>
  <li><p class=""font_8"">Linear Dependence and Independence</p></li>
  <li><p class=""font_8"">Basis and Dimension</p></li>
  <li><p class=""font_8"">Matrix Representations</p></li>
  <li><p class=""font_8"">Invertibility and Isomorphism</p></li>
  <li><p class=""font_8"">Eigenvalues and Eigenvectors</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Ryan Hui","N/A"
"Linear Algebra II","math252",2024-09-12T04:30:14Z,2024-09-16T02:46:09Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 252","This course provides an advanced study of linear algebra, building on the concepts introduced in Linear Algebra I.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Complex Numbers</p></li>
  <li><p class=""font_8"">Vector Spaces</p></li>
  <li><p class=""font_8"">Change of Coordinate Systems</p></li>
  <li><p class=""font_8"">Diagonalization</p></li>
  <li><p class=""font_8"">Invariant Subspaces</p></li>
  <li><p class=""font_8"">Cayley-Hamilton Theorem</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Ryan Hui","N/A"
"Introduction to Organismal Biology","mbiol111",2024-09-12T04:30:15Z,2024-09-16T02:38:58Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","BIOL 111","This course explores the diversity of life, examining the structure, function, and evolution of various organisms.","MCGILL","BIOLOGY","<ol class=""font_8"">
  <li><p class=""font_8"">Evolution and Natural Selection</p></li>
  <li><p class=""font_8"">Classification of Organisms</p></li>
  <li><p class=""font_8"">Plant Physiology</p></li>
  <li><p class=""font_8"">Animal Physiology</p></li>
  <li><p class=""font_8"">Fungi and Protists</p></li>
  <li><p class=""font_8"">Ecology and Ecosystems</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","N/A","Maria Moshopoulos"
"Introduction to Cell and Molecular Biology","mbiol112",2024-09-12T04:30:14Z,2024-09-16T02:43:27Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","BIOL 112","BIOL 112 delves into the cellular and molecular mechanisms that underpin life, focusing on the structure and function of cells.","MCGILL","BIOLOGY","<ol class=""font_8"">
  <li><p class=""font_8"">Cell Structure and Function</p></li>
  <li><p class=""font_8"">Biological Membranes</p></li>
  <li><p class=""font_8"">Metabolism and Enzymes</p></li>
  <li><p class=""font_8"">Cellular Respiration</p></li>
  <li><p class=""font_8"">Photosynthesis</p></li>
  <li><p class=""font_8"">Cell Communication and Signal Transduction</p></li>
  <li><p class=""font_8"">The Cell Cycle and Mitosis</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","Maria Moshopoulos"
"Essential Biology","mbiol115",2024-09-12T04:30:15Z,2024-09-16T02:37:08Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","BIOL 115","This course provides an introduction to biological science with an emphasis on the scientific method, cell biology, genetics, evolution, organ physiology, and ecology.","MCGILL","BIOLOGY","<ol class=""font_8"">
  <li><p class=""font_8"">The Scientific Method and Experimental Design</p></li>
  <li><p class=""font_8"">Structure and Function of Cells</p></li>
  <li><p class=""font_8"">Basic Biochemistry and Metabolism</p></li>
  <li><p class=""font_8"">Genetics and Inheritance Patterns</p></li>
  <li><p class=""font_8"">Evolution and Natural Selection</p></li>
  <li><p class=""font_8"">Diversity of Life (Overview of Organisms)</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","N/A","Maria Moshopoulos"
"General Chemistry 1","mchem110",2024-09-12T04:30:15Z,2024-09-16T02:38:52Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","CHEM 110","This course introduces the foundational concepts in chemistry, providing a basis for understanding chemical reactions, bonding, and the behavior of matter.","MCGILL","CHEMISTRY","<ol class=""font_8"">
  <li><p class=""font_8"">Atomic Structure</p></li>
  <li><p class=""font_8"">Chemical Bonding</p></li>
  <li><p class=""font_8"">Molecular Geometry</p></li>
  <li><p class=""font_8"">Stoichiometry</p></li>
  <li><p class=""font_8"">Thermochemistry</p></li>
  <li><p class=""font_8"">Properties of Gases</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Tynan Peterson","Ossama Elbannaoui"
"General Chemistry 2","mchem120",2024-09-12T04:30:15Z,2024-09-16T02:37:38Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","CHEM 120","This course builds on CHEM 110, exploring more complex chemical concepts and applications.","MCGILL","CHEMISTRY","<ol class=""font_8"">
  <li><p class=""font_8"">Chemical Kinetics</p></li>
  <li><p class=""font_8"">Chemical Equilibrium</p></li>
  <li><p class=""font_8"">Acids and Bases</p></li>
  <li><p class=""font_8"">Buffers and Titrations</p></li>
  <li><p class=""font_8"">Solubility Equilibria</p></li>
  <li><p class=""font_8"">Thermodynamics</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Tynan Peterson","Ossama Elbannaoui"
"Introduction to Computer Programming","mcomp202",2024-09-12T04:30:14Z,2024-09-16T02:46:34Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","COMP 202","This course provides a strong foundation in programming and problem-solving, aimed at students with little or no prior programming experience.","MCGILL","PROGRAMMING","<ol class=""font_8"">
  <li><p class=""font_8"">Programming fundamentals using a high-level language (often Python or Java)</p></li>
  <li><p class=""font_8"">Variables, data types, and control structures</p></li>
  <li><p class=""font_8"">Functions and modular programming</p></li>
  <li><p class=""font_8"">Data structures such as lists, arrays, and dictionaries</p></li>
  <li><p class=""font_8"">Object-oriented programming basics</p></li>
  <li><p class=""font_8"">Debugging and testing techniques</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Introduction to Computer Science","mcomp250",2024-09-12T04:30:15Z,2024-09-16T02:37:00Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","COMP 250","This course is designed for students pursuing a major in computer science or related fields and provides essential knowledge for more advanced courses.","MCGILL","PROGRAMMING","<ol class=""font_8"">
  <li><p class=""font_8"">Introduction to algorithms and data structures</p></li>
  <li><p class=""font_8"">Object-oriented programming (usually in Java)</p></li>
  <li><p class=""font_8"">Abstract data types such as stacks, queues, and linked lists</p></li>
  <li><p class=""font_8"">Trees, graphs, and hash tables</p></li>
  <li><p class=""font_8"">Algorithm analysis and computational complexity</p></li>
  <li><p class=""font_8"">Recursion and sorting/searching algorithms</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Mechanical Engineering Drawing","miae211",2024-09-12T04:30:14Z,2024-09-16T02:48:23Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MIAE 211","This course introduces students to graphic language and design techniques.","CONCORDIA","ENGINEERING","<ol class=""font_8"">
  <li><p class=""font_8"">Orthographic Projection (First and Third Angle)</p></li>
  <li><p class=""font_8"">Principal and Auxiliary Views</p></li>
  <li><p class=""font_8"">Sectional Views</p></li>
  <li><p class=""font_8"">Intersection of Lines, Planes, and Solids</p></li>
  <li><p class=""font_8"">Surface Development</p></li>
  <li><p class=""font_8"">Dimensioning, Fits, and Tolerancing</p></li>
  <li><p class=""font_8"">Computer-Aided Drawing (CAD) and Solid Modeling</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Machine Drawing and Design","miae313",2024-09-12T04:30:14Z,2024-09-16T02:44:45Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MIAE 313","The course includes lectures and extensive lab work to build proficiency in CAD and mechanical design practices.","CONCORDIA","ENGINEERING","<ol class=""font_8"">
  <li><p class=""font_8"">Machine elements representation</p></li>
  <li><p class=""font_8"">Fits and tolerances</p></li>
  <li><p class=""font_8"">Detail and assembly drawings</p></li>
  <li><p class=""font_8"">Computer-Aided Design (CAD) tools for solid modeling</p></li>
  <li><p class=""font_8"">Principles of orthographic and isometric projections</p></li>
  <li><p class=""font_8"">Design and drafting practices for mechanical components</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","N/A"
"Calculus 1 with Precalculus","mmath139",2024-09-12T04:30:14Z,2024-09-16T02:48:20Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 139","MATH 139 provides an introduction to calculus with a review of essential precalculus concepts.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Review of Precalculus</p></li>
  <li><p class=""font_8"">Limits and Continuity</p></li>
  <li><p class=""font_8"">Differentiation Techniques</p></li>
  <li><p class=""font_8"">Applications of Derivatives</p></li>
  <li><p class=""font_8"">Related Rates</p></li>
  <li><p class=""font_8"">Optimization Problems</p></li>
  <li><p class=""font_8"">Antiderivatives</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Elias Bakopanos"
"Calculus 1","mmath140",2024-09-12T04:30:14Z,2024-09-16T02:47:35Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 140","MATH 140 introduces students to the foundational concepts of calculus, building on prior knowledge.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Review of Functions and Graphs</p></li>
  <li><p class=""font_8"">Limits and Continuity</p></li>
  <li><p class=""font_8"">Differentiation of Elementary Functions</p></li>
  <li><p class=""font_8"">Chain Rule</p></li>
  <li><p class=""font_8"">Implicit Differentiation</p></li>
  <li><p class=""font_8"">Applications of Differentiation</p></li>
  <li><p class=""font_8"">Optimization and Related Rates</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Calculus 2","mmath141",2024-09-12T04:30:14Z,2024-09-16T02:48:45Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 141","MATH 141 continues from Calculus 1, focusing on integration and series.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Techniques of Integration</p></li>
  <li><p class=""font_8"">Applications of the Integral</p></li>
  <li><p class=""font_8"">Infinite Sequences and Series</p></li>
  <li><p class=""font_8"">Convergence Tests</p></li>
  <li><p class=""font_8"">Power Series</p></li>
  <li><p class=""font_8"">Taylor and Maclaurin Series</p></li>
  <li><p class=""font_8"">Polar Coordinates</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Calculus A","mmath150",2024-09-12T04:30:14Z,2024-09-16T02:43:32Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 150","MATH 150 offers an accelerated and challenging approach to calculus, covering advanced topics.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Functions, Limits, and Continuity</p></li>
  <li><p class=""font_8"">Differentiation and Its Techniques</p></li>
  <li><p class=""font_8"">Applications of Differentiation</p></li>
  <li><p class=""font_8"">L'Hopital's Rule</p></li>
  <li><p class=""font_8"">Taylor Polynomials</p></li>
  <li><p class=""font_8"">Parametric Equations</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Calculus B","mmath151",2024-09-12T04:30:15Z,2024-09-16T02:43:03Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 151","MATH 151 continues from Calculus A, exploring more advanced calculus concepts.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Techniques of Integration</p></li>
  <li><p class=""font_8"">Infinite Series</p></li>
  <li><p class=""font_8"">Convergence and Divergence</p></li>
  <li><p class=""font_8"">Power Series</p></li>
  <li><p class=""font_8"">Taylor and Maclaurin Series</p></li>
  <li><p class=""font_8"">Vectors and Geometry of Space</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Applied Linear Algebra","mmath214",2024-09-12T04:30:15Z,2024-09-16T02:42:12Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 214","MATH 214 focuses on the practical applications of linear algebra.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Systems of Linear Equations</p></li>
  <li><p class=""font_8"">Matrix Algebra</p></li>
  <li><p class=""font_8"">Vector Spaces</p></li>
  <li><p class=""font_8"">Eigenvalues and Eigenvectors</p></li>
  <li><p class=""font_8"">Diagonalization</p></li>
  <li><p class=""font_8"">Inner Product Spaces</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","N/A"
"Calculus 3","mmath222",2024-09-12T04:30:14Z,2024-09-16T02:47:01Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 222","MATH 222 covers advanced topics in multivariable calculus and vector calculus.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Multivariable Functions</p></li>
  <li><p class=""font_8"">Partial Derivatives</p></li>
  <li><p class=""font_8"">Multiple Integrals</p></li>
  <li><p class=""font_8"">Line Integrals</p></li>
  <li><p class=""font_8"">Green's Theorem</p></li>
  <li><p class=""font_8"">Surface Integrals</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Intermediate Calculus","mmath262",2024-09-12T04:30:14Z,2024-09-16T02:43:18Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 262","MATH 262 explores the calculus of several variables, building on previous courses.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Limits and Continuity in Several Variables</p></li>
  <li><p class=""font_8"">Partial Differentiation</p></li>
  <li><p class=""font_8"">Chain Rule in Multivariable Context</p></li>
  <li><p class=""font_8"">Multiple Integration Techniques</p></li>
  <li><p class=""font_8"">Vector Fields</p></li>
  <li><p class=""font_8"">Line Integrals</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Ordinary Differential Equations for Engineers","mmath263",2024-09-12T04:30:14Z,2024-09-16T02:44:26Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 263","MATH 263 covers ordinary differential equations with a focus on engineering applications.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">First-Order Differential Equations</p></li>
  <li><p class=""font_8"">Second-Order Linear Equations</p></li>
  <li><p class=""font_8"">Laplace Transforms</p></li>
  <li><p class=""font_8"">Systems of Differential Equations</p></li>
  <li><p class=""font_8"">Series Solutions</p></li>
  <li><p class=""font_8"">Numerical Methods</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Advanced Calculus","mmath314",2024-09-12T04:30:15Z,2024-09-16T02:43:14Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 314","MATH 314 delves into advanced topics in calculus, focusing on functions of multiple variables and vector calculus.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Multivariable Calculus</p></li>
  <li><p class=""font_8"">Partial Differentiation</p></li>
  <li><p class=""font_8"">Gradient, Divergence, and Curl</p></li>
  <li><p class=""font_8"">Multiple Integrals</p></li>
  <li><p class=""font_8"">Change of Variables</p></li>
  <li><p class=""font_8"">Line and Surface Integrals</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Ordinary Differential Equations","mmath315",2024-09-12T04:30:14Z,2024-09-16T02:45:57Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 315","MATH 315 focuses on the study and application of differential equations, essential for modeling various physical systems.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">First-Order Differential Equations</p></li>
  <li><p class=""font_8"">Second-Order Linear Equations</p></li>
  <li><p class=""font_8"">Systems of Differential Equations</p></li>
  <li><p class=""font_8"">Series Solutions of Differential Equations</p></li>
  <li><p class=""font_8"">Laplace Transforms</p></li>
  <li><p class=""font_8"">Stability of Linear Systems</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Introductory Physics 1","mphys101",2024-09-12T04:30:14Z,2024-09-16T02:47:52Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","PHYS 101","PHYS 101 covers the fundamental principles of classical mechanics, introducing the laws that govern motion and forces.","MCGILL","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Kinematics</p></li>
  <li><p class=""font_8"">Dynamics</p></li>
  <li><p class=""font_8"">Newton's Laws of Motion</p></li>
  <li><p class=""font_8"">Work and Energy</p></li>
  <li><p class=""font_8"">Conservation of Energy</p></li>
  <li><p class=""font_8"">Linear Momentum</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
"Introductory Physics 2","mphys102",2024-09-12T04:30:15Z,2024-09-16T02:39:03Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","PHYS 102","This course continues from PHYS 101, focusing on the fundamentals of electromagnetism, circuits, and optics.","MCGILL","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Electric Fields and Potentials</p></li>
  <li><p class=""font_8"">Capacitance</p></li>
  <li><p class=""font_8"">Electric Circuits</p></li>
  <li><p class=""font_8"">Magnetic Fields</p></li>
  <li><p class=""font_8"">Electromagnetic Induction</p></li>
  <li><p class=""font_8"">AC Circuits</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
"Waves","mphys132",2024-09-12T04:30:14Z,2024-09-16T02:48:17Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","PHYS 132","This course is designed for students in the life sciences, providing them with a foundation in physics with a focus on its relevance to biological phenomena. It includes both lectures and lab components.","MCGILL","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Electricity and Magnetism</p></li>
  <li><p class=""font_8"">Circuits</p></li>
  <li><p class=""font_8"">Electromagnetic Waves</p></li>
  <li><p class=""font_8"">Optics (Geometrical and Physical)</p></li>
  <li><p class=""font_8"">Atomic and Nuclear Physics</p></li>
  <li><p class=""font_8"">Applications of Physics to Biological Systems</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
"Mechanics","phys204",2024-09-12T04:30:15Z,2024-09-16T02:37:17Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","PHYS 204","This course provides students with a comprehensive understanding of the laws governing motion and forces, critical for further studies in physics and engineering.","CONCORDIA","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Kinematics</p></li>
  <li><p class=""font_8"">Dynamics</p></li>
  <li><p class=""font_8"">Work and Energy</p></li>
  <li><p class=""font_8"">Momentum</p></li>
  <li><p class=""font_8"">Rotational Motion</p></li>
  <li><p class=""font_8"">Statics and Elasticity</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Zachary Flynn"
"Electricity and Magnetism","phys205",2024-09-12T04:30:15Z,2024-09-16T02:39:42Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","PHYS 205","This course is essential for students aiming to understand the electromagnetic phenomena and their applications in technology.","CONCORDIA","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Electric Fields</p></li>
  <li><p class=""font_8"">Gauss's Law</p></li>
  <li><p class=""font_8"">Electric Potential</p></li>
  <li><p class=""font_8"">Capacitance</p></li>
  <li><p class=""font_8"">Current and Resistance</p></li>
  <li><p class=""font_8"">Magnetic Fields</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
